CustomerID,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
18,Christine,Bowman,03-06-1978,FEMALE,INDIVIDUAL,245,Single
110,Thomas,Burke,09-04-1971,MALE,INDIVIDUAL,388,Married
422,Cynthia,Powell,8/21/1970,FEMALE,INDIVIDUAL,263,Single
457,Gary,Baker,01-01-1963,MALE,INDIVIDUAL,74,Divorced
690,Ruth,Baker,2/13/1952,FEMALE,INDIVIDUAL,146,Married
1002,Barbara,Payne,5/17/1966,FEMALE,INDIVIDUAL,871,Married
1240,Scott,Roberts,1/31/1978,MALE,INDIVIDUAL,863,Married
1326,Patricia,Johnson,02-08-1965,FEMALE,INDIVIDUAL,987,Single
1475,Gerald,Rogers,6/25/2012,MALE,INDIVIDUAL,627,Married
1517,Anthony,Knight,3/19/1969,MALE,INDIVIDUAL,840,Married
1554,Roger,Medina,10-05-1952,MALE,INDIVIDUAL,883,Single
1582,Scott,Miller,07-12-1967,MALE,INDIVIDUAL,142,Married
1971,Jeffrey,Cox,6/30/1966,MALE,INDIVIDUAL,906,Divorced
2165,Jean,Payne,10/17/1984,FEMALE,INDIVIDUAL,412,Single
2286,Bruce,Ortiz,10/20/1965,MALE,INDIVIDUAL,944,Single
2348,Mildred,Reed,08-06-2001,FEMALE,INDIVIDUAL,769,Single
2395,Charles,Riley,10/25/1969,MALE,INDIVIDUAL,983,Married
2932,Jesse,Lane,7/17/1991,MALE,INDIVIDUAL,837,Married
3237,Amanda,Thomas,01-08-1951,FEMALE,INDIVIDUAL,16,Single
3371,Mary,Hernandez,11/24/1962,FEMALE,INDIVIDUAL,767,Single
3919,Amanda,Anderson,01-02-1956,FEMALE,INDIVIDUAL,734,Married
4109,Jack,Simmons,12-10-1960,MALE,INDIVIDUAL,59,Married
4437,Larry,Garza,7/21/1973,MALE,INDIVIDUAL,16,Married
4599,Kenneth,Hernandez,05-03-1967,MALE,INDIVIDUAL,504,Single
5081,Janet,Crawford,5/27/1976,FEMALE,INDIVIDUAL,69,Married
5191,Lois,Woods,10-09-1971,FEMALE,INDIVIDUAL,567,Single
5464,Russell,Harper,3/17/1963,MALE,INDIVIDUAL,385,Married
5465,Matthew,Lewis,2/15/1965,MALE,INDIVIDUAL,375,Single
5480,Martha,Hicks,8/13/1968,FEMALE,INDIVIDUAL,28,Married
6403,Jessica,Boyd,5/30/1976,FEMALE,INDIVIDUAL,459,Married
6441,James,Perez,04-06-1966,MALE,INDIVIDUAL,450,Divorced
6644,Craig,Elliott,10/19/1967,MALE,INDIVIDUAL,275,Divorced
6935,Justin,Fox,07-06-2004,MALE,INDIVIDUAL,86,Married
6945,Jeremy,Ross,12-05-1976,MALE,INDIVIDUAL,499,Divorced
7302,Ryan,Hill,7/20/1946,MALE,INDIVIDUAL,655,Single
7311,Martin,Franklin,7/29/1981,MALE,INDIVIDUAL,165,Married
7448,Jane,Watson,8/21/1963,FEMALE,INDIVIDUAL,670,Single
7491,Walter,Marshall,1/14/2002,MALE,INDIVIDUAL,150,Divorced
7619,Craig,Warren,11/26/1976,MALE,INDIVIDUAL,361,Married
7649,Mary,Wells,11-06-1947,FEMALE,INDIVIDUAL,684,Married
7734,Melissa,Watkins,4/29/1978,FEMALE,INDIVIDUAL,127,Married
7743,Stephen,Scott,8/19/1981,MALE,INDIVIDUAL,161,Divorced
7893,Patricia,Hunt,5/24/1953,FEMALE,INDIVIDUAL,51,Married
7986,Keith,Crawford,3/15/1962,MALE,INDIVIDUAL,647,Divorced
8026,Johnny,Franklin,8/27/1970,MALE,INDIVIDUAL,956,Married
8030,Henry,Gardner,6/30/1968,MALE,INDIVIDUAL,378,Divorced
8040,Roy,Lewis,9/30/1971,MALE,INDIVIDUAL,11,Divorced
8282,Jose,Hicks,5/24/1961,MALE,INDIVIDUAL,645,Single
8303,Kenneth,Rivera,01-05-1964,MALE,INDIVIDUAL,580,Married
