ID,COMPLAINDATE,COMPLETIONDATE,LASTNAME,FIRSTNAME,GENDER,BROKERFULLNAME,COMMISSIONSCHEME,DESCRIPTION_CATEGORIES,REGION,DESCRIPTION_STATUS,STATE,PRODUCT,DESCRIPTION_PRIORITIES,DESCRIPTION_SOURCE,DESCRIPTION_TYPE
7,12/20/2011,1/13/2012,Antonio,Baker,MALE,George Wallace,Comm-7,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,South,CLOSED,Alabama,BNM-073,Urgent,Company HQ,Email
8,12/20/2011,12/23/2011,Keith,Gardner,MALE,Matthew Rivera,Comm-2,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,South,CLOSED,Alabama,BNM-062,Urgent,Bank HQ,Phone
16,12/27/2011,1/26/2012,Ronald,Butler,MALE,Arthur Garza,Comm-2,IGNORANCE OF EXISTENCE,South,CLOSED,Arkansas,BNM-041,Urgent,Company HQ,Written
17,12/27/2011,1/27/2012,Sean,Perkins,MALE,Craig Ford,Comm-8,POOR INFORMATION (BEFORE OR WITH THE SALE),South,CLOSED,Arkansas,MMP-004,Urgent,Company HQ,Email
18,12/27/2011,1/18/2012,Tammy,Berry,FEMALE,Joshua Cook,Comm-4,POOR SERVICE,West,CLOSED,Arizona,CAS-012,Urgent,Company HQ,Written
19,12/27/2011,2/14/2012,Charles,Wallace,MALE,Roger Rogers,No Commission,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,Arizona,MMP-006,Urgent,Company HQ,Written
20,12/27/2011,1/11/2012,Laura,Reynolds,FEMALE,Eric Sanchez,Comm-2,POOR SERVICE,West,CLOSED,Arizona,MOT-008,Urgent,Bank HQ,Phone
22,12/27/2011,1/27/2012,Rebecca,Ross,FEMALE,Andrew Williamson,Bonus Based,PAYMENT POLICY,West,CLOSED,Arizona,CAS-022,Urgent,Company HQ,Written
23,12/29/2011,1/12/2012,Hawthorn ,,,Antonio Bell,Bonus Based,IGNORANCE OF EXISTENCE,West,CLOSED,Arizona,CAS-065,Urgent,Company HQ,Written
24,12/29/2011,1/19/2012,Aaron,Boyd,MALE,Kevin Sanders,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,MOT-011,Urgent,Company HQ,Written
25,12/30/2011,1/3/2012,Diane,Hayes,FEMALE,Paul Gardner,Comm-6,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,HOC-064,Urgent,Bank HQ,Phone
26,12/30/2011,1/13/2012,Betty,Gutierrez,FEMALE,Peter Chapman,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,HOC-055,Urgent,Bank HQ,Phone
27,12/30/2011,1/13/2012,Paula,Riley,FEMALE,Kevin Johnson,Comm-2,DISCLAIMER OF A SERVICE ,West,CLOSED,Arizona,CAS-015,Urgent,Call Center,Phone
28,12/30/2011,1/5/2012,Ruby,Howard,FEMALE,Jeremy Wood,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,BNM-032,Urgent,Bank HQ,Phone
29,1/2/2012,1/13/2012,Jesse,Owens,MALE,Robert Nichols,No Commission,POWER FOR PRESENTATION OR WRONG,West,CLOSED,Arizona,CAS-014,Urgent,Bank Branch,In person
30,1/2/2012,1/18/2012,Ralph,Phillips,MALE,Bobby Andrews,Comm-4,MANAGEMENT-NOT DECISION OF ANOTHER COMPANY CONTRACT,West,CLOSED,Arizona,CAS-022,Urgent,Company HQ,Written
31,1/3/2012,1/30/2012,Bruce,Wilson,MALE,Shawn Fernandez,Comm-2,POOR SERVICE,West,CLOSED,Arizona,HOC-050,Urgent,Company HQ,Email
32,1/3/2012,1/19/2012,George,Gordon,MALE,Ronald Reed,Comm-4,POOR SERVICE,West,CLOSED,Arizona,HOC-054,Urgent,Company HQ,Written
33,1/3/2012,1/5/2012,Roger,Castillo,MALE,Nicholas Carpenter,Comm-2,IGNORANCE OF EXISTENCE,West,CLOSED,Arizona,HOC-048,Urgent,Call Center,Phone
34,1/3/2012,1/13/2012,Peter,Stone,MALE,Martin Day,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,CAP-029,Urgent,Bank Branch,In person
35,1/3/2012,1/24/2012,Kathryn,Webb,FEMALE,Antonio Bell,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,Arizona,BNM-037,Urgent,Company HQ,Written
36,1/4/2012,1/31/2012,Matthew,Snyder,MALE,Fred Morris,Comm-2,POOR SERVICE,West,CLOSED,Arizona,CAS-019,Urgent,Company HQ,Written
38,1/4/2012,1/18/2012,Barbara,Mitchell,FEMALE,Charles Payne,Comm-2,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAS-013,Urgent,Company HQ,Court Order
39,1/5/2012,1/9/2012,Andrea,Gonzales,FEMALE,Phillip Fuller,Comm-2,DETERMINATION OR LOSS OF ABSOLUTE REGISTRATIONS,West,CLOSED,California,BNM-031,Non Urgent,Company HQ,Written
40,1/5/2012,1/27/2012,Steven,Wells,MALE,Gary Ryan,Comm-8,IGNORANCE OF EXISTENCE,West,CLOSED,California,HOC-052,Urgent,Company HQ,Written
41,1/5/2012,1/19/2012,Diane,Armstrong,FEMALE,Mark Turner,Comm-9,POOR SERVICE,West,CLOSED,California,MOT-008,Non Urgent,Company HQ,Written
42,1/5/2012,1/30/2012,Todd,Berry,MALE,Roger Lopez,Comm-2,IGNORANCE OF EXISTENCE,West,CLOSED,California,BNM-040,Non Urgent,Company HQ,Written
43,1/5/2012,2/3/2012,Randy,Castillo,MALE,Joshua Garrett,Comm-4,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-066,Urgent,Company HQ,Written
44,1/9/2012,2/7/2012,Ernest,Cole,MALE,Steve Bryant,Bonus Based,POOR SERVICE,West,CLOSED,California,MOT-010,Urgent,Company HQ,Written
46,1/10/2012,1/20/2012,Terry,Green,MALE,Billy Brooks,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HOC-051,Non Urgent,Company HQ,Written
47,1/10/2012,1/23/2012,Debra,Rivera,FEMALE,Jonathan Stevens,No Commission,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAS-022,Urgent,Company HQ,Court Order
48,1/10/2012,1/18/2012,Thomas,Harris,MALE,Joe Sims,Comm-3,DISCLAIMER OF DISMISSAL,West,CLOSED,California,BNM-032,Non Urgent,Company HQ,Written
49,1/10/2012,1/18/2012,Craig,Johnston,MALE,Thomas Howard,Comm-8,POOR SERVICE,West,CLOSED,California,HHC-078,Urgent,Company HQ,Written
50,1/10/2012,2/9/2012,Jennifer,Perry,FEMALE,Earl King,Comm-7,DISCLAIMER OF A SERVICE ,West,CLOSED,California,BNM-040,Non Urgent,Company HQ,Written
52,1/11/2012,1/19/2012,Chris,Spencer,MALE,Antonio Warren,Comm-6,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,BNM-041,Urgent,Bank HQ,Email
53,1/12/2012,2/24/2012,Mary,Holmes,FEMALE,Lawrence George,Comm-3,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,BNM-041,Urgent,Company HQ,Court Order
54,1/12/2012,2/3/2012,Martha,Harper,FEMALE,Ronald Dean,Comm-4,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAP-028,Urgent,Bank Branch,Written
55,1/12/2012,1/30/2012,Eugene,Frazier,MALE,Bruce Nichols,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-040,Urgent,Company HQ,Written
56,1/12/2012,1/30/2012,Mary,Garza,FEMALE,Ronald Welch,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-038,Urgent,Company HQ,Written
57,1/13/2012,2/22/2012,Fred,Robinson,MALE,Nicholas Clark,Comm-5,IGNORANCE OF EXISTENCE,West,CLOSED,California,HHC-078,Urgent,Company HQ,Written
58,1/13/2012,1/30/2012,Margaret,Mcdonald,FEMALE,Raymond Collins,Comm-2,POOR SERVICE,West,CLOSED,California,MOT-007,Urgent,Company HQ,Written
61,1/13/2012,1/25/2012,Kevin,Morales,MALE,Keith Kim,No Commission,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,MOT-009,Non Urgent,Company HQ,Written
62,1/13/2012,1/18/2012,Brian,Castillo,MALE,Gerald Castillo,Comm-6,PAYMENT POLICY,West,CLOSED,California,HOC-049,Non Urgent,Bank Branch,Written
64,1/16/2012,1/30/2012,Nicole,Turner,FEMALE,Charles Jordan,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,PNM-001,Urgent,Bank HQ,Phone
